Symbol,Name,Last,Change,% Change,Options Tot Vol,Options OI,Options IV 1y,Options % Change 1m,Call Vol,Put Vol,Put/Call
MELI,MercadolibreI,1597.6,-45.80,-2.79%,2939,30011,36.74%,+10.49%,1507,1432,0.9502
GEV,GEVernovaInc,167.52,-3.99,-2.33%,4778,37163,71.70%,+9.59%,1340,3438,2.5657
Z,ZillowGroupC,45.64,-0.75,-1.62%,18590,300833,45.25%,+9.51%,4105,14485,3.5286
BYND,BeyondMeatIn,6.75,+0.04,0.60%,30676,411150,38.91%,+9.27%,18263,12413,0.6797
MA,MastercardInc,437.61,-3.55,-0.80%,11887,142378,57.32%,+8.03%,5186,6701,1.2921
W,WayfairInc,50.55,-2.18,-4.13%,20209,299477,45.08%,+8.03%,10092,10117,1.0025
MDLZ,MondelezIntl,65.24,-0.20,-0.31%,2956,80915,57.20%,+7.26%,956,2000,2.0921
VZ,VerizonCommun,41.74,+0.50,1.21%,40015,814988,32.16%,+6.89%,28144,11871,0.4218
DOW,DowInc,52.63,-0.42,-0.79%,8715,251798,39.64%,+6.33%,4603,4112,0.8933
DNUT,KrispyKremeI,10.21,-0.55,-5.11%,4801,54986,39.31%,+5.45%,3152,1649,0.5232
GIS,GeneralMills,63.3,+0.04,0.06%,4161,71042,32.74%,+5.10%,3286,875,0.2663
CLS,CelesticaInc,57.79,+0.46,0.80%,3346,76259,43.35%,+2.67%,2367,979,0.4136
KSS,KohCorp,21.89,-1.10,-4.78%,24780,177224,14.63%,+2.35%,10227,14553,1.4230
VLO,ValeroEnergy,157.98,+1.22,0.78%,9496,173041,41.17%,+2.02%,3649,5847,1.6024
BYON,BeyondInc,12.96,-0.12,-0.92%,7134,94770,52.96%,+1.87%,5057,2077,0.4107
EPD,EnterprisePro,28.99,+0.01,0.03%,7090,262768,28.50%,+0.67%,4605,2485,0.5396
ASAN,AsanaIncClA,13.99,+0.00,0.00%,4102,72347,9.10%,-0.07%,3816,286,0.0749
KGC,KinrossGoldC,8.24,-0.08,-0.96%,6546,211484,19.75%,-0.59%,5578,968,0.1735
WOLF,WolfspeedInc,22.54,-0.22,-0.97%,10517,258595,50.89%,-0.77%,3590,6927,1.9295
AVGO,BroadcomLtd,1640.8,+35.27,2.20%,117130,365987,48.29%,-1.36%,86743,30387,0.3503
EBAY,EbayInc,52.68,-1.04,-1.94%,8091,135071,40.47%,-1.41%,3625,4466,1.2320
RIG,TransoceanInc,5.05,-0.30,-5.61%,19738,915173,23.01%,-1.64%,14422,5316,0.3686
JD,Jd.comIncADR,25.79,-0.05,-0.19%,47925,839536,4.98%,-2.47%,35062,12863,0.3669
NTAP,NetappInc,130.24,+1.44,1.12%,7696,74953,18.79%,-2.56%,5964,1732,0.2904
AAOI,AppliedOptoel,8.08,-0.21,-2.53%,2974,48285,8.13%,-2.65%,1746,1228,0.7033
ON,OnSemiconduct,69.18,+0.63,0.92%,11147,205434,44.66%,-2.83%,7630,3517,0.4609
CEG,Constellation,205.05,+4.78,2.39%,5534,73722,76.17%,-3.07%,2570,2964,1.1533
GM,GeneralMotors,46.68,+0.22,0.47%,46410,1223017,36.35%,-3.76%,34567,11843,0.3426
VFS,VinfastAutoL,4.16,-0.14,-3.26%,5318,93611,15.57%,-3.99%,1307,4011,3.0689
ADI,AnalogDevices,225.18,-3.08,-1.35%,6016,98005,14.62%,-4.04%,3602,2414,0.6702
PNC,PNCBank,156.14,+0.66,0.42%,3252,59664,46.05%,-4.47%,1815,1437,0.7917
"AMZN
watching",Amazon.comInc,197.2,+3.95,2.04%,658836,4345563,55.93%,-4.71%,499563,159273,0.3188
PLCE,ChildrePla,7.6,-0.54,-6.63%,2666,31673,53.69%,-4.89%,1825,841,0.4608
WDC,WesternDigita,76.38,+0.61,0.81%,18749,376985,68.97%,-4.91%,16479,2270,0.1378
SHEL,RoyalDutchSh,72.87,+0.69,0.96%,5762,216231,35.39%,-4.92%,4254,1508,0.3545
INTU,IntuitInc,650.77,-6.44,-0.98%,5389,62684,13.34%,-5.01%,3242,2147,0.6622
CLOV,CloverHealth,1.2,-0.03,-2.44%,7850,139424,26.23%,-5.12%,6978,872,0.1250
RDFN,RedfinCorp,5.85,-0.16,-2.66%,7208,237773,29.71%,-5.59%,5856,1352,0.2309
ZM,ZoomVideoCom,59.21,+0.02,0.03%,14827,330001,2.83%,-5.90%,9308,5519,0.5929
TOL,TollBrothers,112.33,-2.85,-2.47%,4016,43183,23.81%,-6.12%,2129,1887,0.8863
TLRY,TilrayBrands,1.68,+0.02,1.20%,21009,651646,9.50%,-6.21%,18972,2037,0.1074
RILY,B.RileyFinan,17.45,-0.19,-1.08%,11233,183072,26.57%,-6.27%,3332,7901,2.3712
ISRG,IntuitiveSurg,436.24,-8.61,-1.94%,3721,50411,30.62%,-6.58%,1856,1865,1.0048
BX,BlackstoneInc,122.23,-1.57,-1.27%,15770,361907,50.60%,-6.73%,6083,9687,1.5925
OXY,OccidentalPet,62.88,-0.15,-0.24%,66885,882819,19.32%,-6.75%,43383,23502,0.5417
LVS,LasVegasSand,42.88,-1.37,-3.10%,17906,269406,60.79%,-7.48%,9790,8116,0.8290
XOM,ExxonMobilCo,114.96,-0.16,-0.14%,75040,981517,31.32%,-7.75%,52832,22208,0.4204
